                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  0.928,                 2.6622,                 1.0928,                0.95263,                0.39821,                0.80543,                0.68698,                      0,                    inf,                      0,               0.070682,              0.0032576,              0.0032576
                      1,                0.84973,                 1.1483,                 0.9509,                0.87208,                0.81002,                0.81401,                 0.6931,                      0,                    inf,                      0,               0.040617,              0.0065257,              0.0065257
                      2,                0.89426,                 1.0056,                0.97523,                 0.7657,                0.80892,                  0.813,                0.65236,                      0,                    inf,                      0,               0.010485,              0.0097277,              0.0097277
                      3,                0.99122,                 1.0237,                0.99621,                0.96079,                0.84906,                 0.8809,                0.68928,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                0.92925,                0.94603,                 0.9896,                0.90182,                0.86634,                 0.8701,                0.69118,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                0.90216,                0.87664,                0.99434,                0.88353,                0.80198,                0.80349,                0.62794,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                0.88541,                0.84269,                0.98518,                0.91393,                0.82673,                0.85569,                0.68265,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                0.89298,                0.81854,                0.97796,                0.93819,                0.85644,                0.86232,                0.72278,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.87637,                0.79274,                0.97505,                0.94164,                0.85149,                0.86482,                0.69476,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.86599,                0.75578,                0.96099,                0.90764,                0.86139,                0.86549,                 0.7347,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.82082,                0.69644,                0.95516,                0.93972,                0.84887,                0.86043,                0.72341,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.79465,                0.66702,                0.94461,                0.90097,                0.85579,                0.86152,                0.72901,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.78367,                0.65494,                0.94929,                0.88867,                0.86938,                0.86423,                0.75018,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.79202,                0.64621,                0.94705,                0.87198,                0.84299,                0.83724,                0.71187,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.78547,                0.63139,                0.93145,                0.90643,                0.86317,                0.86255,                0.74915,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.76623,                0.61402,                0.93139,                0.87569,                0.87624,                0.87389,                0.75697,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.76464,                0.60901,                0.93636,                0.94144,                0.87548,                0.87417,                0.74448,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.74038,                0.59082,                 0.9298,                0.95879,                0.86634,                0.88489,                0.75644,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.73241,                0.58203,                 0.9338,                0.92632,                0.83663,                0.85705,                0.75418,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.74851,                0.57508,                0.93182,                 0.9824,                0.87624,                0.87466,                0.76382,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.72795,                0.57777,                 0.9222,                0.93157,                0.86139,                0.87972,                 0.7848,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.71417,                0.56017,                0.91543,                0.98033,                0.85644,                0.88278,                0.76151,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.73085,                0.55958,                0.92541,                0.95061,                0.85747,                0.87564,                0.76473,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.70941,                0.55141,                0.92037,                0.97787,                0.87506,                0.89043,                0.78263,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.69834,                0.54745,                0.91505,                0.97266,                0.88044,                0.88657,                0.78569,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                0.69851,                0.54785,                0.91359,                0.91671,                0.88119,                0.87935,                0.77564,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.69585,                0.53192,                0.91761,                0.96544,                0.87624,                0.87722,                 0.7805,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                0.68285,                0.52574,                0.91263,                0.97775,                0.87015,                0.89073,                0.79047,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.69261,                0.52781,                0.92034,                 0.9732,                0.87129,                0.88927,                0.79863,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.69337,                0.51675,                0.91011,                0.97306,                0.86634,                0.89216,                0.79591,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                0.67777,                0.50243,                0.90121,                0.95133,                 0.8709,                0.88704,                0.79408,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.66042,                 0.5079,                0.90314,                0.94146,                0.87624,                0.88313,                 0.7778,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                0.66939,                0.50647,                0.90666,                0.95905,                0.86634,                0.87503,                0.76955,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.64189,                0.47928,                0.89426,                0.96149,                0.86524,                0.87731,                0.79523,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                0.64344,                0.48752,                0.90701,                0.96451,                0.87129,                0.88445,                 0.8006,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.64087,                0.48395,                0.90242,                0.96159,                0.86763,                0.88874,                0.79366,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.64915,                0.48722,                 0.9043,                0.94693,                0.85644,                0.88463,                0.80638,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 0.6508,                0.48543,                0.89629,                0.96342,                0.88614,                0.89911,                0.80247,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.64899,                0.47379,                0.90014,                0.96098,                0.87129,                0.89239,                0.80725,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.61041,                0.45542,                0.88963,                0.92569,                0.87624,                0.88433,                0.81255,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.60722,                0.45228,                0.88574,                0.97116,                0.88119,                0.88181,                0.80427,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.62467,                0.45783,                0.88982,                0.94199,                0.88429,                0.88177,                0.80319,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.61447,                0.44055,                 0.8927,                0.94631,                0.87129,                0.88597,                0.80535,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.63739,                 0.4632,                0.89009,                0.95901,                0.87624,                0.88008,                0.80194,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.59724,                0.43451,                0.87988,                 0.9418,                0.87129,                0.88449,                0.80657,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.59905,                0.43653,                0.89006,                 0.9722,                0.86568,                 0.8948,                0.82489,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.60619,                0.44039,                0.88468,                0.92658,                0.87462,                0.89157,                0.81472,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.58132,                0.42241,                0.87934,                0.94648,                0.87556,                0.89204,                0.82119,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.58467,                0.41773,                0.87647,                0.97728,                 0.8518,                0.88546,                0.81078,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.58638,                0.42406,                0.87767,                0.89856,                0.88614,                0.88369,                 0.8069,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.57414,                0.41723,                0.88383,                 0.9456,                0.88119,                0.88798,                0.81915,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.57551,                0.41717,                0.87924,                0.97804,                0.86139,                0.88126,                 0.8112,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.58217,                0.41489,                0.87948,                0.94919,                0.88614,                0.88033,                0.81497,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.57134,                0.41103,                0.87933,                0.94966,                0.88614,                 0.8853,                0.81671,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.54518,                0.39462,                0.87562,                0.94981,                0.88119,                0.87939,                0.81667,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.55389,                0.39844,                0.87936,                0.94022,                0.87624,                0.88821,                0.82434,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
